OBJECTID,Input_FID,Americ_ESPop,Asian_Pop,Black_Pop,Hawn_PiPop,Hispanic,Multi_Race,WhitePop,Other_Pop,TotPop,Shape__Area,Shape__Length
392,744,35,3,11,37,3,38,185,38,196,1461417.81494141,4499.99991697008
393,818,17,7,71,18,13,15,211,19,316,1461417.81494141,4499.99991696135
394,793,20,0,2,18,1,24,290,28,302,1461417.81494141,4499.99991698333
395,743,18,5,38,13,3,14,202,14,269,1461417.81494141,4499.9999169603
396,817,16,4,71,20,9,21,229,14,345,1461417.81542969,4499.99991696684
397,792,26,10,59,29,10,18,279,28,368,1461417.81396484,4499.99991698485
398,791,28,2,43,24,14,34,298,24,325,1461417.81445313,4499.99991698515
399,742,18,6,35,27,10,15,186,14,259,1461417.81542969,4499.99991696909
400,741,16,10,47,17,9,18,213,19,219,1461417.81494141,4499.99991697554
401,816,25,6,165,25,22,27,226,23,426,1461417.81445313,4499.99991696169
402,766,27,11,186,36,28,31,244,26,492,1461417.81542969,4499.9999169788
403,740,24,7,214,28,33,35,114,29,387,1461417.81542969,4499.99991698083
404,815,26,5,210,25,25,19,94,19,327,1461417.81494141,4499.99991698532
405,765,39,4,202,28,38,27,146,39,390,1461417.81494141,4499.99991697647
406,739,32,5,225,34,54,38,160,38,466,1461417.81445313,4499.99991696473
407,814,33,2,134,22,37,28,33,26,188,1461417.81494141,4499.99991698608
408,813,30,1,104,27,38,27,52,28,168,1461417.81445313,4499.99991694476
409,764,22,7,255,33,36,29,147,26,442,1461417.81494141,4499.99991696466
410,763,28,7,388,29,210,28,136,1,677,1461417.81542969,4499.99991697833
411,738,33,7,370,35,109,28,157,16,629,1461417.81445313,4499.99991698456
412,812,46,6,119,47,344,46,162,10,571,1461417.81542969,4499.99991698235
413,762,53,2,119,60,588,55,313,0,812,1461417.81494141,4499.9999169688
414,737,32,9,322,24,326,32,217,3,757,1461417.81445313,4499.99991697922
415,811,21,1,42,19,216,20,181,1,345,1461417.81542969,4499.99991697297
416,786,24,10,74,26,328,38,183,0,501,1461417.81396484,4499.99991699706
417,785,27,6,45,22,337,28,265,0,521,1461417.81494141,4499.99991696263
418,736,46,1,109,47,526,31,353,2,766,1461417.81591797,4499.99991696677
419,735,31,5,48,29,274,22,224,2,410,1461417.81494141,4499.9999169998
420,810,37,2,44,41,304,34,304,2,527,1461417.81542969,4499.99991697787
421,905,1,0,0,2,0,0,16,0,10,1461418.18359375,4500.00048523603
422,880,2,0,1,3,4,4,45,6,63,1461417.81445313,4499.99991697473
423,830,1,1,1,2,6,3,64,2,73,1461417.81542969,4499.99991697635
424,906,2,1,0,0,6,3,40,1,49,1461418.18408203,4500.0004852253
425,856,4,2,3,2,2,2,55,5,68,1461417.81494141,4499.99991697904
426,908,9,0,4,8,25,5,75,6,101,1461418.18408203,4500.00048522158
427,907,4,2,6,3,8,0,68,2,72,1461418.18408203,4500.00048523402
428,909,9,0,12,6,30,5,74,7,113,1461418.18408203,4500.00048522582
429,859,15,1,15,17,32,19,99,11,151,1461417.81445313,4499.99991698784
430,910,15,0,38,19,190,8,121,4,245,1461418.18359375,4500.00048522258
431,884,10,1,18,14,41,19,116,13,146,1461417.81494141,4499.99991699752
432,834,18,1,14,18,106,20,181,8,213,1461417.81542969,4499.99991697328
433,911,28,0,76,27,322,13,164,8,441,1461418.18359375,4500.00048520954
434,886,21,0,121,15,32,16,35,25,139,1461417.81445313,4499.99991696559
435,885,24,1,65,21,394,20,254,0,536,1461417.81542969,4499.9999169938
436,836,20,4,75,34,125,20,79,12,267,1461417.81494141,4499.99991696759
437,835,26,2,60,37,419,31,232,1,569,1461417.81445313,4499.99991698987
438,912,22,1,121,32,31,21,37,22,169,1461418.18505859,4500.00048523765
439,862,19,0,84,19,38,20,40,17,148,1461417.81445313,4499.9999169838
440,837,19,1,129,11,28,26,26,20,185,1461417.81542969,4499.99991698174
441,914,26,0,332,30,44,28,24,35,363,1461418.18408203,4500.00048524344
442,913,37,2,371,36,107,40,47,7,482,1461418.18408203,4500.00048522182
443,864,24,6,293,12,45,13,17,8,340,1461417.81494141,4499.99991697539
444,863,21,4,246,21,53,21,23,8,289,1461417.81542969,4499.99991699294
445,838,19,3,194,29,51,16,19,18,269,1461417.81445313,4499.99991697735
446,915,68,3,482,62,58,70,79,56,598,1461418.18408203,4500.00048522716
447,865,23,4,263,28,44,33,155,19,486,1461417.81494141,4499.99991697887
448,839,16,8,232,27,34,21,63,24,369,1461417.81445313,4499.99991696804
449,916,41,2,260,38,23,44,202,42,488,1461418.18408203,4500.00048522692
450,866,30,9,233,29,34,23,222,20,495,1461417.81494141,4499.99991697073
451,840,31,13,232,26,42,37,158,22,425,1461417.81445313,4499.99991698073
452,917,6,1,15,4,2,2,35,6,55,1461418.18359375,4500.0004852171
453,892,11,5,54,13,7,6,178,6,240,1461417.81445313,4499.99991698618
454,891,19,4,117,18,9,21,193,19,338,1461417.81494141,4499.99991699676
455,842,16,1,78,7,12,17,231,16,320,1461417.81591797,4499.99991697066
456,841,11,10,71,13,16,16,226,11,314,1461417.81542969,4499.99991696491
457,918,4,0,3,2,0,4,52,2,33,1461418.18359375,4500.00048523089
458,843,25,4,14,23,3,32,279,26,310,1461417.81542969,4499.99991698235
459,922,4,0,1,9,0,7,77,11,74,1461418.18359375,4500.00048522596
460,872,5,3,2,3,0,3,65,4,70,1461417.81542969,4499.99991697973
461,846,9,3,4,13,2,8,190,11,220,1461417.81494141,4499.99991698608
462,897,3,0,0,4,0,3,45,5,50,1461417.81494141,4499.99991697439
463,847,3,7,2,4,0,3,40,8,37,1461417.81542969,4499.99991697277
464,1017,0,0,7,1,0,1,14,2,21,1461417.81445313,4499.99991696925
465,991,17,1,67,25,7,26,319,30,373,1461417.81494141,4499.99991697549
466,941,38,1,183,39,7,31,210,32,416,1461418.18408203,4500.00048522358
467,1016,28,4,129,32,10,24,323,19,469,1461417.81445313,4499.99991698149
468,966,30,0,126,28,10,28,299,24,423,1461417.81542969,4499.99991697356
469,940,49,2,392,60,31,72,107,56,526,1461418.18457031,4500.00048522344
470,1015,57,1,496,52,38,52,45,56,583,1461417.81494141,4499.99991697759
471,965,82,0,552,99,42,76,39,76,602,1461417.81494141,4499.99991697542
472,939,85,2,493,86,75,89,43,69,598,1461418.18408203,4500.00048522892
473,1014,46,0,429,59,52,56,71,60,543,1461417.81494141,4499.99991696821
474,1013,56,4,363,54,92,61,95,47,522,1461417.81494141,4499.99991698439
475,964,38,0,382,46,50,38,34,40,484,1461417.81494141,4499.99991697811
476,963,41,4,384,44,151,40,54,9,560,1461417.81494141,4499.99991698015
477,938,39,1,323,31,48,37,38,31,372,1461418.18408203,4500.00048523723
478,1012,25,0,106,15,42,14,25,12,167,1461417.81494141,4499.99991697608
479,962,16,0,113,16,44,14,20,12,173,1461417.81445313,4499.99991696169
480,937,35,0,193,28,56,38,39,24,262,1461418.18457031,4500.00048523817
481,1011,19,0,49,20,218,6,95,1,269,1461417.81494141,4499.99991697922
482,986,24,0,98,12,108,12,46,9,197,1461417.81494141,4499.99991699225
483,985,17,0,31,9,106,8,68,1,137,1461417.81445313,4499.99991698363
484,936,20,0,93,22,53,20,14,14,165,1461418.18457031,4500.00048522547
485,935,25,0,65,35,416,6,200,2,550,1461418.18457031,4500.00048522317
486,1010,8,0,27,9,32,4,32,3,78,1461417.81396484,4499.99991698063
487,984,3,0,23,7,36,4,29,5,76,1461417.81494141,4499.99991697794
488,934,9,0,20,6,31,7,33,2,70,1461418.18408203,4500.00048521675
489,1009,7,0,21,3,27,4,31,4,67,1461417.81445313,4499.99991697532
490,959,3,0,20,5,33,6,35,6,84,1461417.81542969,4499.99991698177
491,933,3,0,26,8,26,5,31,7,90,1461418.18359375,4500.00048523488
492,1008,7,1,13,2,20,3,30,4,60,1461417.81494141,4499.99991696101
493,1007,3,0,6,6,8,3,38,0,43,1461417.81494141,4499.99991696701
494,958,4,0,15,9,16,10,33,4,84,1461417.81494141,4499.99991701115
495,957,3,0,15,8,31,4,32,2,69,1461417.81494141,4499.9999169628
496,932,6,0,15,6,20,5,46,2,69,1461418.18408203,4500.00048523013
497,1006,2,0,0,0,3,1,27,2,25,1461417.81542969,4499.99991696973
498,956,1,0,1,8,4,2,48,4,51,1461417.81542969,4499.99991697083
499,931,4,1,10,4,7,3,39,6,61,1461418.18359375,4500.00048523386
500,980,2,0,1,1,4,4,23,1,35,1461417.81542969,4499.99991699039
501,930,3,0,1,2,6,0,42,2,43,1461418.18408203,4500.00048523537
502,1131,3,0,1,4,3,4,91,5,95,1461417.81591797,4499.99991697728
503,1106,3,0,0,0,2,1,18,0,24,1461417.81494141,4499.99991697422
504,1056,1,0,1,1,2,1,18,3,24,1461417.81445313,4499.99991695966
505,1031,4,1,3,4,9,3,38,5,60,1461417.81445313,4499.99991698801
506,1132,5,2,4,3,4,4,102,7,78,1461417.81494141,4499.99991697949
507,1108,4,0,2,3,4,4,38,0,50,1461417.81396484,4499.99991697922
508,1107,4,0,2,8,4,1,49,3,62,1461417.81591797,4499.9999169667
509,1058,5,0,0,4,10,3,41,5,54,1461417.81542969,4499.99991695449
510,1057,0,0,1,10,4,4,48,1,58,1461417.81445313,4499.99991696846
511,1032,4,0,2,2,7,5,25,3,49,1461417.81494141,4499.99991696745
512,1133,1,0,3,2,6,3,50,3,58,1461417.81542969,4499.99991695949
513,1109,4,0,1,2,5,2,54,5,48,1461417.81445313,4499.9999169639
514,1059,2,0,6,2,8,4,35,2,56,1461417.81542969,4499.99991696015
515,1033,6,0,4,1,14,4,37,3,80,1461417.81542969,4499.99991696501
516,1134,36,1,20,26,96,22,316,11,477,1461417.81445313,4499.9999169827
517,1084,2,0,0,0,7,7,51,0,55,1461417.81494141,4499.99991696932
518,1060,12,0,22,8,46,8,29,4,65,1461417.81494141,4499.99991696077
519,1034,7,0,17,6,29,10,24,6,74,1461417.81542969,4499.9999169727
520,1136,12,0,21,12,71,11,53,6,115,1461417.81494141,4499.99991697745
521,1135,27,0,34,21,50,26,147,10,234,1461417.81494141,4499.99991697566
522,1086,13,0,45,11,54,7,37,6,115,1461417.81494141,4499.99991694449
523,1085,15,1,39,10,82,8,42,2,109,1461417.81445313,4499.9999169588
524,1061,11,0,33,13,71,13,38,6,136,1461417.81542969,4499.99991695787
525,1036,6,0,60,13,48,13,33,7,116,1461417.81494141,4499.99991698328
526,1035,11,0,24,8,60,14,39,5,123,1461417.81494141,4499.9999169848
527,1137,35,7,65,24,30,35,199,30,287,1461417.81494141,4499.99991698432
528,1112,28,1,87,26,39,27,80,25,216,1461417.81494141,4499.99991697787
529,1062,10,1,107,12,46,18,18,13,159,1461417.81494141,4499.99991694366
530,1037,34,1,158,35,42,31,55,45,270,1461417.81445313,4499.99991697949
531,1138,23,8,114,30,33,24,307,23,483,1461417.81445313,4499.99991696463
532,1114,42,3,155,38,48,42,344,30,531,1461417.81494141,4499.99991697694
533,1113,55,4,90,42,28,35,215,37,331,1461417.81591797,4499.99991698963
